Category,Subcategory,Example_Attributes
Plumbing,Pipes & Fittings,"CPVC/PPR/PEX, diameters, SDR"
Plumbing,Valves & Traps,"Type, size, material, ratings"
Plumbing,Water Treatment,"RO, softeners, UV, filters"
Joinery,Boards & Panels,"Plywood grades, MDF/HDHMR, compact laminate"
Joinery,Veneers & Laminates,"Species, thickness, finish"
Joinery,Edgebanding & Profiles,"Material, thickness, colors"
Joinery,Adhesives & Sealants,"PU, PVA, epoxy, silicone"
Joinery,Fasteners & Fittings,"Screws, inserts, brackets"
Storage,Wardrobe Internals,"Rails, drawers, pull-outs, lighting"
Storage,Kitchen Internals,"Cutlery trays, bottle pull-outs, bins"
Storage,Garage/Utility Storage,"Shelving, cabinets, racks"
Soft Furnishings,Curtains & Drapes,"Header style, fabric, lining, track"
Soft Furnishings,Blinds & Shades,"Roller/roman/venetian, blackout, motorized"
Soft Furnishings,Cushions & Throws,"Fill, size, fabric"
Soft Furnishings,Bedding & Linen,"Thread count, material, sizes"
Décor,Mirrors,"Framed/frameless, bevel, LED"
Décor,Artwork & Prints,"Framing, size, mounting"
Décor,Vases & Accessories,"Material, size, finish"
Outdoor,Decking & Pavers,"Material, slip rating, thickness"
Outdoor,Pergolas & Gazebos,"Material, span, roofing"
Outdoor,Fencing & Screens,"Material, height, privacy"
Outdoor,Green Walls & Planters,"Irrigation, substrate, sizes"
Outdoor,Outdoor Kitchens & BBQ,"Modules, fuel, countertops"
Outdoor,Pools & Spas (Residential),"Shell type, finish, equipment"
Acoustics,Panels & Baffles,"NRC, material, mounting"
Acoustics,Underlays & Doors,"Rw/STC ratings, thickness"
Security & Safety,Video Door Phones & Locks,"Connectivity, power, certifications"
Security & Safety,Detectors & Extinguishers,"Type, standards, mounting"
Workspaces,Office Furniture,"Desks, task chairs, storage"
Workspaces,Ergonomics,"Monitor arms, mats, cable mgmt"
Signage & Wayfinding,Numbers & Plaques,"Material, size, mounting"
